Date,Type,Country,State,Location,Activity,Sex,Age,Injury,Time,Species,Extracted_date,Month,Year,Age_group
06-Feb-2021,Unprovoked,USA,HAWAII,"Waiokapua Bay, Kaui",Surfing,M,nan,Survived,16h30,Unknown,Feb-2021,Feb,2021,Unknown
02-Feb-2021,Other,AUSTRALIA,SOUTH AUSTRALIA,Gleneg,Surfing,M,17,Survived,19h00,Unknown,Feb-2021,Feb,2021,Teen
29-Jan-2021,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Melaleuca Beach, Cowaramup Bay, Gracetown, ",Swimming,F,46,Survived,10h30,Unknown,Jan-2021,Jan,2021,Adult
27-Jan-2021,Unprovoked,NEW ZEALAND,NORTH ISLAND,"Papamoa Beach, Bay of Plenty",Swimming,M,61,Survived,20h00,Unknown,Jan-2021,Jan,2021,Senior
23-Jan-2021,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Lake Macquarie,Swimming,M,58,Survived,18h30,Unknown,Jan-2021,Jan,2021,Adult
22-Jan-2021,Other,USA,FLORIDA,Off Tampa Bay,Fishing,Unknown,nan,Survived,,Great White,Jan-2021,Jan,2021,Unknown
22-Jan-2021,Unprovoked,USA,HAWAII,Maui,Snorkeling,M,73,Survived,07h45,Unknown,Jan-2021,Jan,2021,Senior
21-Jan-2021,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Port MacDonnell,Snorkeling,M,32,Fatal,17h00,Great White,Jan-2021,Jan,2021,Young Adult
13-Jan-2021,Unprovoked,BRAZIL,PERNAMBUCO,Cacimba do Padre Beach,Surfing,M,52,Survived,,Unknown,Jan-2021,Jan,2021,Adult
13-Jan-2021,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Blackwall Reach,Swimming,M,54,Survived,07h58,Bull Shark,Jan-2021,Jan,2021,Adult
11-Jan-2021,Unprovoked,AUSTRALIA,VICTORIA,13th Beach,Swimming,M,7,Survived,17h40,Unknown,Jan-2021,Jan,2021,Child
07-Jan-2021,Unprovoked,NEW ZEALAND,NORTH ISLAND,"Waihī  Beach, Bay of Plenty",Swimming,F,19,Fatal,17h10,Unknown,Jan-2021,Jan,2021,Young Adult
03-Jan-2021,Unprovoked,USA,FLORIDA,"Cocoa Beach, Brevard  County",Surfing,M,19,Survived,10h30,Unknown,Jan-2021,Jan,2021,Young Adult
02-Jan-2021,Unprovoked,USA,FLORIDA,"Cocoa Beach, Brevard  County",Surfing,M,17,Survived,10h30,Unknown,Jan-2021,Jan,2021,Teen
02-Jan-2021,Unprovoked,USA,HAWAII,"Anaehoomalu Bay
Waikoloa, Hawaii County",Swimming,F,68,Survived,08h00,Unknown,Jan-2021,Jan,2021,Senior
30-Dec-2020,Unprovoked,USA,CALIFORNIA,"Coronado, San Diego County",Swimming,M,nan,Survived,Afternoon,Great White,Dec-2020,Dec,2020,Unknown
09-Dec-2020,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Cable Beach,Surfing,M,nan,Survived,07h00,Unknown,Dec-2020,Dec,2020,Unknown
08-Dec-2020,Unprovoked,USA,HAWAII,Honolua Bay,Surfing,M,56,Fatal,07h45,Tiger Shark,Dec-2020,Dec,2020,Adult
06-Dec-2020,Unprovoked,USA,OREGON,"Seaside Cove, Clatsop County",Surfing,M,20,Survived,15h20,Unknown,Dec-2020,Dec,2020,Young Adult
06-Dec-2020,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,D’Estrees Bay near Kangaroo Island,Surfing,M,29,Survived,14h20,Great White,Dec-2020,Dec,2020,Young Adult
26-Nov-2020,Unprovoked,USA,HAWAII,Maui,Snorkeling,F,35,Survived,14h00,Unknown,Nov-2020,Nov,2020,Young Adult
23-Nov-2020,Unprovoked,NEW CALEDONIA,SOUTH PROVINCE,St. Vincent Bay,Snorkeling,F,nan,Survived,,Tiger Shark,Nov-2020,Nov,2020,Unknown
22-Nov-2020,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Cable Beach,Boarding,M,59,Fatal,08h40,Bull Shark,Nov-2020,Nov,2020,Adult
02-Nov-2020,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Town Beach, Port Macquarie",Surfing,M,13,Survived,06h00,Unknown,Nov-2020,Nov,2020,Teen
31-Oct-2020,Unprovoked,USA,FLORIDA,Ormond Beach,Swimming,M,17,Survived,16h00,Blacktip Shark,Oct-2020,Oct,2020,Teen
30-Oct-2020,Unprovoked,BAHAMAS,GRAND BAHAMA ISLAND,East End Point,Fishing,M,nan,Survived,,Unknown,Oct-2020,Oct,2020,Unknown
24-Oct-2020,Unprovoked,AUSTRALIA,QUEENSLAND,Britomart Reef,Fishing,M,59,Survived,12h00,Unknown,Oct-2020,Oct,2020,Adult
21-Oct-2020,Other,USA,NORTH CAROLINA,"Emerald Isle, Carteret County",Surfing,M,nan,Survived,Sunset,Unknown,Oct-2020,Oct,2020,Unknown
09-Oct-2020,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Kelp Beds Beach (Kelpies),Surfing,M,52,Fatal,10h45,Unknown,Oct-2020,Oct,2020,Adult
07-Oct-2020,Unprovoked,USA,FLORIDA,"Miami Beach, Miami-Dade County",Surfing,M,31,Survived,Afternoon,Blacktip Shark,Oct-2020,Oct,2020,Young Adult
04-Oct-2020,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Toms Surf break, Hamersley Pool, North Beach, Perth",Surfing,M,17,Survived,10h45,Unknown,Oct-2020,Oct,2020,Teen
29-Sep-2020,Provoked,USA,FLORIDA,Near Key Largo,Unknown,M,nan,Survived,,Nurse Shark,Sep-2020,Sep,2020,Unknown
21-Sep-2020,Other,USA,HAWAII,"Charley Young Beach, Maui",Swimming,F,61,Survived,11h00,Unknown,Sep-2020,Sep,2020,Senior
20-Sep-2020,Unprovoked,USA,FLORIDA,"Sombero Key Light, Monroe County",Snorkeling,M,30,Survived,10h30,Bull Shark,Sep-2020,Sep,2020,Young Adult
17-Sep-2020,Provoked,AUSTRALIA,QUEENSLAND,Fraser Island,Fishing,M,50s,Survived,16h00,Great White,Sep-2020,Sep,2020,Adult
16-Sep-2020,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Cabarita Beach,Boarding,M,nan,Survived,Afternoon,Great White,Sep-2020,Sep,2020,Unknown
16-Sep-2020,Other,USA,FLORIDA,"Daytona Beach Shores, Volusia County",Swimming,M,48,Survived,15h20,Unknown,Sep-2020,Sep,2020,Adult
15-Sep-2020,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Surfing,M,15,Survived,10h45,Unknown,Sep-2020,Sep,2020,Teen
15-Sep-2020,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Surfing,M,25,Survived,08h15,Unknown,Sep-2020,Sep,2020,Young Adult
08-Sep-2020,Other,USA,FLORIDA,Canaveral National Seashore,Fishing,M,54,Survived,,Unknown,Sep-2020,Sep,2020,Adult
07-Sep-2020,Unprovoked,AUSTRALIA,QUEENSLAND,"Greenmount Beach, Coolangatta",Surfing,M,46,Fatal,17h00,Great White,Sep-2020,Sep,2020,Adult
06-Sep-2020,Unprovoked,USA,HAWAII,Puako,Snorkeling,F,70,Survived,16h30,Unknown,Sep-2020,Sep,2020,Senior
