Date,Type,Country,State,Location,Activity,Sex,Age,Injury,Time,Species,Extracted_date,Month,Year,Age_group
22-Jul-2017,Unprovoked,USA,FLORIDA,"Snipes Point, Monroe County",Unknown,F,40,Survived,12h30,Unknown,Jul-2017,July,2017,Adult
20-Jul-2017,Other,USA,SOUTH CAROLINA,"Hilton Head Island, Beaufort County",Swimming,F,8,Survived,,Unknown,Jul-2017,July,2017,Child
20-Jul-2017,Other,USA,CALIFORNIA,"Stearns Wharf, Santa Barbara",Kayaking,M,40,Survived,11h20,Great White,Jul-2017,July,2017,Adult
20-Jul-2017,Unprovoked,USA,CALIFORNIA,"Seal Rock, Goleta Beach, Santa Barbara",Unknown,M,50,Survived,07h45,Great White,Jul-2017,July,2017,Adult
14-Jul-2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Floreat Beach,Surfing,M,nan,Survived,11h45,Unknown,Jul-2017,July,2017,Unknown
11-Jul-2017,Other,USA,CALIFORNIA,"Santa Cruz, Santa Cruz County",Kayaking,M,nan,Survived,11h00,Great White,Jul-2017,July,2017,Unknown
09-Jul-2017,Unprovoked,USA,FLORIDA,"Haulover Beach, Miami-Dade County",Swimming,M,46,Survived,15h30,Bull Shark,Jul-2017,July,2017,Adult
07-Jul-2017,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Nahoon Reef, East London",Surfing,F,13,Survived,15h00,Great White,Jul-2017,July,2017,Teen
29-Jun-2017,Other,USA,SOUTH CAROLINA,Wrightsville Beach,Fishing,M,nan,Survived,19h30,Unknown,Jun-2017,June,2017,Unknown
21-Jun-2017,Unprovoked,USA,SOUTH CAROLINA,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Survived,,Unknown,Jun-2017,June,2017,Teen
19-Jun-2017,Unprovoked,USA,FLORIDA,"Singer Island, Palm Beach County",Surfing,M,nan,Survived,Morning,Unknown,Jun-2017,June,2017,Unknown
18-Jun-2017,Unprovoked,USA,SOUTH CAROLINA,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Survived,,Bull Shark,Jun-2017,June,2017,Teen
11-Jun-2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Point Casuarina, Bunbury",Boarding,M,48,Survived,08h30,Great White,Jun-2017,June,2017,Adult
10-Jun-2017,Unprovoked,AUSTRALIA,VICTORIA,"Flinders, Mornington Penisula",Surfing,F,nan,Survived,15h45,Unknown,Jun-2017,June,2017,Unknown
10-Jun-2017,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Surfing,M,19,Survived,10h00,Unknown,Jun-2017,June,2017,Young Adult
04-Jun-2017,Unprovoked,USA,FLORIDA,"Middle Sambo Reef off Boca Chica, Monroe County",Fishing,M,nan,Survived,,Unknown,Jun-2017,June,2017,Unknown
30-May-2017,Provoked,USA,SOUTH CAROLINA,"Awendaw, Charleston County",Unknown,F,20,Survived,,Unknown,May-2017,May,2017,Young Adult
28-May-2017,Unprovoked,USA,FLORIDA,Off Jupiter,Unknown,M,nan,Survived,Morning,Tiger Shark,May-2017,May,2017,Unknown
27-May-2017,Other,AUSTRALIA,NEW SOUTH WALES,Evans Head,Fishing,M,73,Survived,,Unknown,May-2017,May,2017,Senior
Reported 06-May-2017,Provoked,AUSTRALIA,QUEENSLAND,Weipa,Unknown,M,29,Survived,,Unknown,May-2017,May,2017,Young Adult
03-May-2017,Other,USA,CALIFORNIA,"Sunset Beach, Orange County",Surfing,F,18,Survived,14h30,Unknown,May-2017,May,2017,Teen
29-Apr-2017,Unprovoked,USA,CALIFORNIA,"San Onofre, San Diego County ",Swimming,F,nan,Survived,17h34,Unknown,Apr-2017,Apr,2017,Unknown
29-Apr-2017,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Keurbooms, Plettenberg Bay",Surfing,M,14,Survived,17h10,Unknown,Apr-2017,Apr,2017,Teen
29-Apr-2017,Unprovoked,USA,SOUTH CAROLINA,"Folly Beach, Charleston County",Surfing,F,33,Survived,11h00,Unknown,Apr-2017,Apr,2017,Young Adult
27-Apr-2017,Unprovoked,NEW ZEALAND,SOUTH ISLAND,"Porpoise Bay, Catlins",Boarding,F,20s,Survived,14h00,Unknown,Apr-2017,Apr,2017,Young Adult
26-Apr-2017,Other,USA,FLORIDA,,Unknown,F,nan,Survived,,Unknown,Apr-2017,Apr,2017,Unknown
20-Apr-2017,Other,USA,SOUTH CAROLINA,Georgetown County,Swimming,M,nan,Survived,08h50,Unknown,Apr-2017,Apr,2017,Unknown
17-Apr-2017,Unprovoked,USA,FLORIDA,"Daytona Beach, Volusia County",Unknown,Unknown,nan,Survived,Afternoon,Unknown,Apr-2017,Apr,2017,Unknown
17-Apr-2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Kelpies near Wylie Bay,Surfing,F,17,Fatal,16h00,Great White,Apr-2017,Apr,2017,Teen
14-Apr-2017,Unprovoked,USA,HAWAII,"Kekaha Beach, Kauai",Surfing,M,28,Survived,09h00,Tiger Shark,Apr-2017,Apr,2017,Young Adult
13-Apr-2017,Unprovoked,USA,FLORIDA,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Survived,13h30,Unknown,Apr-2017,Apr,2017,Teen
12-Apr-2017,Unprovoked,USA,FLORIDA,St. Augustine,Surfing,F,nan,Survived,13h45,Unknown,Apr-2017,Apr,2017,Unknown
12-Apr-2017,Other,SOUTH AFRICA,KWAZULU-NATAL,Protea Banks,Diving,M,68,Survived,,Unknown,Apr-2017,Apr,2017,Senior
11-Apr-2017,Unprovoked,USA,FLORIDA,"Ormond Beach, Volusia County",Surfing,F,35,Survived,16h00,Unknown,Apr-2017,Apr,2017,Young Adult
10-Apr-2017,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Paddle,F,10,Survived,17h45,Unknown,Apr-2017,Apr,2017,Child
10-Apr-2017,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Swimming,F,21,Survived,17h00,Unknown,Apr-2017,Apr,2017,Young Adult
06-Apr-2017,Unprovoked,USA,FLORIDA,"Daytona, Volusia County",Swimming,M,16,Survived,,Unknown,Apr-2017,Apr,2017,Teen
05-Apr-2017,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Swimming,F,51,Survived,13h00,Unknown,Apr-2017,Apr,2017,Adult
02-Apr-2017,Unprovoked,AUSTRALIA,QUEENSLAND,Moreton Bay,Unknown,M,39,Survived,Afternoon,Unknown,Apr-2017,Apr,2017,Adult
02-Apr-2017,Unprovoked,USA,FLORIDA,"Destin, Okaloosa County",Swimming,F,17,Survived,15h00,Bull Shark,Apr-2017,Apr,2017,Teen
27-Mar-2017,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,58,Survived,10h00,Unknown,Mar-2017,Mar,2017,Adult
19-Mar-2017,Unprovoked,AUSTRALIA,NEW SOUTH WALES,The Farm,Boarding,M,30,Survived,18h30,Unknown,Mar-2017,Mar,2017,Young Adult
18-Mar-2017,Other,USA,CALIFORNIA,Monterey Bay,Kayaking,M,nan,Survived,14h30,Great White,Mar-2017,Mar,2017,Unknown
11-Mar-2017,Unprovoked,PHILIPPINES,LUZON ISLAND,"Villamar, Caoayan",Fishing,M,25,Survived,,Unknown,Mar-2017,Mar,2017,Young Adult
07-Mar-2017,Provoked,MEXICO,TAMAULIPAS,"Playa Baghdad, Matamoros",Fishing,M,nan,Survived,Morning,Unknown,Mar-2017,Mar,2017,Unknown
25-Feb-2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Mauds Point,Snorkeling,F,nan,Survived,Morning,Bull Shark,Feb-2017,Feb,2017,Unknown
24-Feb-2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Falcon Bay Beach, Mandurah",Surfing,M,nan,Survived,Morning,Unknown,Feb-2017,Feb,2017,Unknown
17-Feb-2017,Unprovoked,AUSTRALIA,QUEENSLAND,Eva Rock,Fishing,M,26,Survived,10h20,Unknown,Feb-2017,Feb,2017,Young Adult
11-Feb-2017,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Swimming,M,22,Survived,13h30,Unknown,Feb-2017,Feb,2017,Young Adult
06-Feb-2017,Provoked,BRAZIL,PERNAMBUCO,Fernando de Noronha Marine Park,Unknown,F,nan,Survived,Afternoon,Lemon Shark,Feb-2017,Feb,2017,Unknown
06-Feb-2017,Other,SOUTH AFRICA,KWAZULU-NATAL,Eastmoor Crescent Beach,Fishing,M,nan,Survived,,Tiger Shark,Feb-2017,Feb,2017,Unknown
01-Feb-2017,Other,USA,SOUTH CAROLINA,16 miles off Hilton Head,Fishing,Unknown,nan,Survived,,Great White,Feb-2017,Feb,2017,Unknown
24-Jan-2017,Unprovoked,BRAZIL,PERNAMBUCO,"Boa Viagem, Recife",Swimming,M,21,Survived,13h20,Unknown,Jan-2017,Jan,2017,Young Adult
22-Jan-2017,Unprovoked,USA,FLORIDA,"Vero Beach, Indian River County",Unknown,M,Teen,Survived,14h00,Unknown,Jan-2017,Jan,2017,Unknown
21-Jan-2017,Unprovoked,AUSTRALIA,QUEENSLAND,"Boot Reef, Torres Strait",Diving,M,55,Survived,12h00,Bull Shark,Jan-2017,Jan,2017,Adult
13-Jan-2017,Unprovoked,AUSTRALIA,QUEENSLAND,Clairview,Swimming,M,57,Survived,13h30,Unknown,Jan-2017,Jan,2017,Adult
13-Jan-2017,Unprovoked,USA,FLORIDA,Jensen Beach,Unknown,M,nan,Survived,Morning,Unknown,Jan-2017,Jan,2017,Unknown
09-Jan-2017,Unprovoked,INDONESIA,BALI,Balian Beach,Surfing,M,48,Survived,07h30,Bull Shark,Jan-2017,Jan,2017,Adult
Reported 08-Jan-2017,Other,AUSTRALIA,QUEENSLAND,,Fishing,M,35,Unknown,,Bull Shark,Jan-2017,Jan,2017,Young Adult
05-Jan-2017,Unprovoked,USA,FLORIDA,"Blockhouse Beach, Brevard County",wading,M,47,Survived,12h30,Unknown,Jan-2017,Jan,2017,Adult
03-Jan-2017,Other,AUSTRALIA,NEW SOUTH WALES,Merimbula,wading,M,20,Survived,18h00,Unknown,Jan-2017,Jan,2017,Young Adult
27-Dec-2016,Unprovoked,USA,FLORIDA,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Survived,17h00,Unknown,Dec-2016,Dec,2016,Teen
24-Dec-2016,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,nan,Survived,Morning,Unknown,Dec-2016,Dec,2016,Unknown
19-Dec-2016,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Keurbooms Lagoon, Plettenberg Bay",Surfing,M,55,Survived,07h00,Great White,Dec-2016,Dec,2016,Adult
14-Dec-2016,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Trigg Beach,Diving,M,61,Survived,09h30,Unknown,Dec-2016,Dec,2016,Senior
11-Dec-2016,Other,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,19,Survived,Afternoon,Unknown,Dec-2016,Dec,2016,Young Adult
06-Dec-2016,Provoked,AUSTRALIA,NEW SOUTH WALES,Merimbula,Fishing,M,20,Survived,02h00,Unknown,Dec-2016,Dec,2016,Young Adult
01-Dec-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Booti Booti National Park,Surfing,M,65,Survived,09h00,Great White,Dec-2016,Dec,2016,Senior
28-Nov-2016,Provoked,AUSTRALIA,VICTORIA,Queenscliff,Fishing,M,73,Survived,11h00,Unknown,Nov-2016,Nov,2016,Senior
14-Nov-2016,Unprovoked,USA,HAWAII,"Kamaole Beach Park I, Maui",Floating,F,58,Survived,10h30,Tiger Shark,Nov-2016,Nov,2016,Adult
30-Oct-2016,Unprovoked,USA,FLORIDA,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Survived,Afternoon,Unknown,Oct-2016,Oct,2016,Adult
29-Oct-2016,Unprovoked,USA,FLORIDA,Mayport Naval Station  Duval County,Surfing,M,42,Survived,Afternoon,Unknown,Oct-2016,Oct,2016,Adult
24-Oct-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Broken Head Beach,Surfing,M,36,Survived,07h30,Unknown,Oct-2016,Oct,2016,Adult
21-Oct-2016,Unprovoked,USA,HAWAII,"Hooipa Beach Park, Maui",Surfing,M,36,Survived,17h00,Unknown,Oct-2016,Oct,2016,Adult
15-Oct-2016,Unprovoked,AUSTRALIA,QUEENSLAND,"Kings Beach, Caloundra",Surfing,M,nan,Unknown,18h00,Unknown,Oct-2016,Oct,2016,Unknown
14-Oct-2016,Unprovoked,USA,HAWAII,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Survived,09h50,Unknown,Oct-2016,Oct,2016,Senior
12-Oct-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Sharpes Beach, Ballina",Surfing,M,25,Survived,10h30,Unknown,Oct-2016,Oct,2016,Young Adult
10-Oct-2016,Unprovoked,USA,OREGON,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Survived,16h00,Unknown,Oct-2016,Oct,2016,Young Adult
02-Oct-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,21,Survived,11h30,Unknown,Oct-2016,Oct,2016,Young Adult
01-Oct-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,32,Survived,17h30,Unknown,Oct-2016,Oct,2016,Young Adult
26-Sep-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Lighthouse Beach, Ballina",Surfing,M,17,Survived,9h00,Great White,Sep-2016,Sep,2016,Teen
18-Sep-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,16,Survived,13h00,Unknown,Sep-2016,Sep,2016,Teen
18-Sep-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,36,Survived,11h00,Unknown,Sep-2016,Sep,2016,Adult
18-Sep-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,43,Survived,10h43,Unknown,Sep-2016,Sep,2016,Adult
17-Sep-2016,Unprovoked,USA,CALIFORNIA,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,Survived,After noon,Unknown,Sep-2016,Sep,2016,Adult
17-Sep-2016,Unprovoked,AUSTRALIA,VICTORIA,Thirteenth Beach,Surfing,M,nan,Unknown,,Unknown,Sep-2016,Sep,2016,Unknown
16-Sep-2016,Unprovoked,AUSTRALIA,VICTORIA,Bells Beach,Surfing,M,nan,Survived,,Unknown,Sep-2016,Sep,2016,Unknown
15-Sep-2016,Other,AUSTRALIA,WESTERN AUSTRALIA,Bunbury,Fishing,Unknown,nan,Survived,,Unknown,Sep-2016,Sep,2016,Unknown
11-Sep-2016,Unprovoked,USA,FLORIDA,"Ponte Vedra, St. Johns County",wading,M,60s,Survived,15h15,Unknown,Sep-2016,Sep,2016,Senior
07-Sep-2016,Unprovoked,USA,HAWAII,"Makaha, Oahu",Swimming,F,51,Survived,14h30,Tiger Shark,Sep-2016,Sep,2016,Adult
06-Sep-2016,Unprovoked,NEW CALEDONIA,NORTH PROVINCE,Koumac,Surfing,M,50,Fatal,15h40,Unknown,Sep-2016,Sep,2016,Adult
05-Sep-2016,Unprovoked,USA,SOUTH CAROLINA,"Kingston Plantation, Myrtle Beach, Horry County",Boarding,F,12,Survived,Late afternoon,Unknown,Sep-2016,Sep,2016,Child
05-Sep-2016,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Injidup ,Surfing,M,nan,Survived,Late afternoon,Unknown,Sep-2016,Sep,2016,Unknown
04-Sep-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Boarding,M,9,Survived,,Unknown,Sep-2016,Sep,2016,Child
01-Sep-2016,Unprovoked,USA,CALIFORNIA,"Refugio State Beach, Santa Barbara County",Fishing,M,22,Survived,,Great White,Sep-2016,Sep,2016,Young Adult
29-Aug-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,25,Survived,15h00,Bull Shark,Aug-2016,Aug,2016,Young Adult
29-Aug-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,37,Survived,14h00,Unknown,Aug-2016,Aug,2016,Adult
25-Aug-2016,Unprovoked,USA,FLORIDA,"Ponte Vedra, St. Johns County",wading,M,49,Survived,16h00,Unknown,Aug-2016,Aug,2016,Adult
07-Aug-2016,Unprovoked,BAHAMAS,NEW PROVIDENCE ISLAND,Nassau,Snorkeling,M,15,Survived,,Unknown,Aug-2016,Aug,2016,Teen
06-Aug-2016,Unprovoked,USA,HAWAII,Maui,Boarding,M,21,Survived,16h30,Tiger Shark,Aug-2016,Aug,2016,Young Adult
04-Aug-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,22,Survived,,Blacktip Shark,Aug-2016,Aug,2016,Young Adult
28-Jul-2016,Other,AUSTRALIA,WESTERN AUSTRALIA,Near Albany,Unknown,M,nan,Survived,,Great White,Jul-2016,July,2016,Unknown
27-Jul-2016,Provoked,USA,FLORIDA,"Florida Keys, Monroe County",Unknown,M,43,Survived,,Nurse Shark,Jul-2016,July,2016,Adult
26-Jul-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Sharpes Beach, Ballina",Surfing,M,18,Survived,12h00,Unknown,Jul-2016,July,2016,Teen
23-Jul-2016,Unprovoked,AUSTRALIA,TASMANIA,Clifton Beach,Surfing,M,36,Survived,,Unknown,Jul-2016,July,2016,Adult
23-Jul-2016,Unprovoked,BAHAMAS,ABACO ISLANDS,Green Turtle Cay,Fishing,M,nan,Survived,,Bull Shark,Jul-2016,July,2016,Unknown
20-Jul-2016,Provoked,AUSTRALIA,QUEENSLAND,"20 k off The Spit, off the Gold Coast",Fishing,M,31,Survived,After noon,Unknown,Jul-2016,July,2016,Young Adult
17-Jul-2016,Other,USA,ALABAMA,8 miles off Mobile,Fishing,Unknown,nan,Survived,,Tiger Shark,Jul-2016,July,2016,Unknown
16-Jul-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,F,9,Survived,1300,Unknown,Jul-2016,July,2016,Child
16-Jul-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Unknown,F,11,Survived,11h00,Unknown,Jul-2016,July,2016,Child
15-Jul-2016,Unprovoked,USA,CALIFORNIA,"Surfside, Orange County",Surfing,M,61,Survived,17h00,Great White,Jul-2016,July,2016,Senior
15-Jul-2016,Unprovoked,USA,SOUTH CAROLINA,"North Myrtle Beach, Horry County",Swimming,M,nan,Survived,,Unknown,Jul-2016,July,2016,Unknown
Reported 08-Jul-2016,Unprovoked,SPAIN,CANARY ISLANDS,"Las Teresitas, Tenerife",wading,F,10,Survived,,Unknown,Jul-2016,July,2016,Child
08-Jul-2016,Other,USA,CALIFORNIA,"Capitola, Santa Cruz County",Fishing,M,nan,Survived,,Great White,Jul-2016,July,2016,Unknown
07-Jul-2016,Provoked,USA,MASSACHUSETTS,"Off Gloucester, Essec County",Fishing,M,59,Survived,10h00,Unknown,Jul-2016,July,2016,Adult
07-Jul-2016,Other,USA,CALIFORNIA,"Off Palos Verdes peninsula, Los Angeles County",Fishing,M,nan,Survived,,Great White,Jul-2016,July,2016,Unknown
06-Jul-2016,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Swimming,F,42,Survived,14h30 / 15h30,Unknown,Jul-2016,July,2016,Adult
04-Jul-2016,Provoked,AUSTRALIA,QUEENSLAND,Palm Cove ,Fishing,M,34,Survived,22h00,Nurse Shark,Jul-2016,July,2016,Young Adult
27-Jun-2016,Unprovoked,USA,SOUTH CAROLINA,Sullivan's Island,Unknown,M,35,Survived,16h20,Unknown,Jun-2016,June,2016,Young Adult
25-Jun-2016,Unprovoked,USA,NORTH CAROLINA,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,Survived,14h34,Unknown,Jun-2016,June,2016,Child
23-Jun-2016,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Ryspunt,Fishing,M,43,Survived,,Great White,Jun-2016,June,2016,Adult
21-Jun-2016,Unprovoked,USA,SOUTH CAROLINA,"North Myrtle Beach, Horry County",Floating,M,42,Survived,15h25,Unknown,Jun-2016,June,2016,Adult
21-Jun-2016,Unprovoked,USA,FLORIDA,"Pelican Beach Park, Satellite Beach, Brevard County",wading,M,nan,Survived,14h55,Unknown,Jun-2016,June,2016,Unknown
15-Jun-2016,Unprovoked,USA,HAWAII,"Kalapaki Beach, Kauai",Surfing,M,nan,Survived,06h00,Unknown,Jun-2016,June,2016,Unknown
15-Jun-2016,Provoked,AUSTRALIA,WESTERN AUSTRALIA,Coral Bay,Fishing,M,19,Survived,,Unknown,Jun-2016,June,2016,Young Adult
14-Jun-2016,Unprovoked,USA,TEXAS,"Pirates Beach, Galveston",Floating,F,6,Survived,17h30,Unknown,Jun-2016,June,2016,Child
11-Jun-2016,Unprovoked,USA,NORTH CAROLINA,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,Survived,15h00,Unknown,Jun-2016,June,2016,Young Adult
07-Jun-2016,Other,USA,SOUTH CAROLINA,"Folly Beach, Charleston County",Surfing,M,27,Survived,11h30,Unknown,Jun-2016,June,2016,Young Adult
05-Jun-2016,Unprovoked,USA,FLORIDA,"Flagler Beach, Flagler County",Swimming,M,64,Survived,08h30,Unknown,Jun-2016,June,2016,Senior
05-Jun-2016,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Mindarie,Diving,F,60,Fatal,11h30,Unknown,Jun-2016,June,2016,Adult
02-Jun-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Kingscliff,Fishing,M,nan,Survived,,Unknown,Jun-2016,June,2016,Unknown
31-May-2016,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Falcon Beach, Mandurah",Surfing,M,29,Fatal,16h00,Great White,May-2016,May,2016,Young Adult
29-May-2016,Unprovoked,USA,CALIFORNIA,"Corona Del Mar, Newport, Orange County",Swimming,F,52,Survived,16h00,Unknown,May-2016,May,2016,Adult
29-May-2016,Unprovoked,USA,FLORIDA,"Neptune, Duval County",Swimming,M,13,Survived,15h45,Unknown,May-2016,May,2016,Teen
22-May-2016,Unprovoked,USA,FLORIDA,"Vero Beach, Indian River County",Swimming,F,57,Survived,12h00,Unknown,May-2016,May,2016,Adult
21-May-2016,Unprovoked,USA,FLORIDA,"St. Petersburg, Pinellas County",Swimming,F,22,Survived,18h00,Bull Shark,May-2016,May,2016,Young Adult
21-May-2016,Unprovoked,USA,FLORIDA,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,Survived,17h46,Unknown,May-2016,May,2016,Child
18-May-2016,Unprovoked,USA,FLORIDA,"Ponte Vedra, St. Johns County",Swimming,M,48,Survived,Morning ,Blacktip Shark,May-2016,May,2016,Adult
15-May-2016,Provoked,USA,FLORIDA,"Boca Raton, Palm Beach County",Unknown,F,23,Survived,13h20,Nurse Shark,May-2016,May,2016,Young Adult
03-May-2016,Unprovoked,USA,HAWAII,"Wailea Beach, Maui",Floating,M,59,Survived,15h49,Unknown,May-2016,May,2016,Adult
02-May-2016,Provoked,NEW ZEALAND,NORTH ISLAND,Cormandel,Fishing,M,39,Survived,Afternoon,Unknown,May-2016,May,2016,Adult
May 2016,Unprovoked,USA,LOUISIANA,,wading,F,33,Survived,,Blacktip Shark,May 2016,May,2016,Young Adult
25-Apr-2016,Unprovoked,INDONESIA,BALI,Balian,Surfing,M,24,Survived,07h00,Bull Shark,Apr-2016,Apr,2016,Young Adult
23-Apr-2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,15,Survived,17h30,Unknown,Apr-2016,Apr,2016,Teen
22-Apr-2016,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Robberg Beach, Plettenberg Bay",Surfing,M,nan,Survived,08h00,Great White,Apr-2016,Apr,2016,Unknown
19-Apr-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"First Sun Beach, Byron Bay",Swimming,M,12,Survived,12h00,Unknown,Apr-2016,Apr,2016,Child
13-Apr-2016,Unprovoked,USA,FLORIDA,"Off Singer Island, Palm Beach County",Fishing,M,26,Survived,,Bull Shark,Apr-2016,Apr,2016,Young Adult
07-Apr-2016,Unprovoked,USA,FLORIDA,"Florida Keys, Monroe County",Fishing,M,34,Survived,,Unknown,Apr-2016,Apr,2016,Young Adult
07-Apr-2016,Other,USA,FLORIDA,"Corners Beach, Jupiter, Palm Beach County",Unknown,M,nan,Survived,,Unknown,Apr-2016,Apr,2016,Unknown
31-Mar-2016,Unprovoked,USA,HAWAII,"Olowalu, Maui",Snorkeling,F,46,Survived,11h00,Unknown,Mar-2016,Mar,2016,Adult
30-Mar-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Bombo Beach,Surfing,M,22,Survived,19h00,Unknown,Mar-2016,Mar,2016,Young Adult
28-Mar-2016,Unprovoked,USA,FLORIDA,"Fort Myers Beach, Lee County",Unknown,M,Teen,Survived,,Unknown,Mar-2016,Mar,2016,Unknown
28-Mar-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,North Cronulla Beach,Surfing,M,41,Survived,11h00,Unknown,Mar-2016,Mar,2016,Adult
13-Mar-2016,Other,USA,CALIFORNIA,"Bolsa Chica State Park, Orange County",Surfing,Unknown,nan,Survived,Morning,Unknown,Mar-2016,Mar,2016,Unknown
11-Mar-2016,Unprovoked,USA,FLORIDA,"Vero Beach, St. Lucie County",Surfing,M,19,Survived,13h30,Unknown,Mar-2016,Mar,2016,Young Adult
10-Mar-2016,Unprovoked,FIJI,VANUA LEVU,Dawara,Diving,M,45,Fatal,Afternoon,Unknown,Mar-2016,Mar,2016,Adult
04-Mar-2016,Unprovoked,USA,FLORIDA,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,M,12,Survived,Afternoon,Unknown,Mar-2016,Mar,2016,Child
Reported 03-Mar-2016,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Wrights Bay,Fishing,M,nan,Survived,Midnight,Unknown,Mar-2016,Mar,2016,Unknown
22-Feb-2016,Unprovoked,NEW CALEDONIA,SOUTH PROVINCE,"Ricaudy Reef, Noumea",Surfing,M,21,Survived,19h00,Unknown,Feb-2016,Feb,2016,Young Adult
 19-Feb-2016,Unprovoked,NEW CALEDONIA,SOUTH PROVINCE,Yate,Fishing,M,31,Survived,16h00,Unknown,Feb-2016,Feb,2016,Young Adult
10-Feb-2016,Other,AUSTRALIA,TASMANIA,Nettley Bay,Surfing,M,nan,Survived,12h30,Unknown,Feb-2016,Feb,2016,Unknown
05-Feb-2016,Unprovoked,AUSTRALIA,QUEENSLAND,Stradbroke Island,Unknown,F,45,Unknown,13h20,Unknown,Feb-2016,Feb,2016,Adult
04-Feb-2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Hams Beach,Surfing,M,40,Survived,Late afternoon,Unknown,Feb-2016,Feb,2016,Adult
29-Jan-2016,Other,SOUTH AFRICA,KWAZULU-NATAL,,Fishing,M,nan,Survived,,Unknown,Jan-2016,Jan,2016,Unknown
28-Jan-2016,Unprovoked,USA,HAWAII,"Hanalei Bay, Kauai",Surfing,M,nan,Survived,14h00,Unknown,Jan-2016,Jan,2016,Unknown
25-Jan-2016,Unprovoked,USA,HAWAII,"Hanalei Bay, Kauai, ",Surfing,F,15,Survived,11h30,Unknown,Jan-2016,Jan,2016,Teen
24-Jan-2016,Unprovoked,USA,TEXAS,Off Surfside,Fishing,M,nan,Survived,09h30 / 10h00,Bull Shark,Jan-2016,Jan,2016,Unknown
